ID,Spot name,Spot tag,Address,latitude,longitude,Spot name.1,Registrant,Updater,Registered Date,Updated date and time,Name,Capacity,Contact Number,Actual No. of Evacuees,No. of Male,No. of Female,Senior Citizens,No. of PWD,Type of Evacuation Center,Photos,Gallery Image,Gallery Metadata
1556,BATUAN EVAC,,"Q4JW+7RJ, Loay Interior Road, Batuan, Bohol, Philippines",9.7807127,124.14701,Evacuation Center,Batuan,Batuan,2026-04-28 10:43:55,2026-04-28 10:43:55,BATUAN CENTRAL ELEMENTARY SCHOOL,15,,0,0,0,0,0,Permanent,,,
1559,BATUAN EVAC,,"Q4JW+PXM, Loay Interior Road, Batuan, 6318 Bohol, Philippines",9.7818606856967,124.147430073528,Evacuation Center,Batuan,Batuan,2026-04-28 10:54:49,2026-04-28 10:54:49,MARK,100,,0,0,0,0,0,Permanent,,,
1558,BATUAN EVAC,,"Q5M3+FHM, Batuan, Bohol, Philippines",9.78367549520322,124.154026506152,Evacuation Center,Batuan,Batuan,2026-04-28 10:51:44,2026-04-28 10:52:37,MARK,50,,0,0,0,0,0,Permanent,,,
265,BUENAVISTA EVACUATION CENTER,,"Cangawa Buenavista Bohol, Philippines",10.0618488801815,124.113704723991,Evacuation Center,Calape,Buenavista,2025-03-17 14:25:38,2025-04-20 08:51:08,BUENAVISTA EVACUATION CENTER,100,9982812990.0,0,0,0,0,0,,,,
839,Calape Evacuation Center,,"VVGX+94 Calape, Bohol, Philippines",9.8759513026661,123.897797174561,Evacuation Center,Calape,Calape,2025-10-15 16:24:03,2026-03-05 13:16:46,Calape Evacuation Center,100 pax,9178912234.0,0,0,0,0,0,Permanent,,,
408,Catigbian Municipal Evacuation Center,,"Poblacion Weste, Catigbian, Bohol",9.85507168404797,124.001193168925,Evacuation Center,Catigbian,Catigbian,2025-07-08 17:45:40,2025-07-08 17:45:40,Catigbian Municipal Evacuation Center,50 families,9708126122.0,0,0,0,0,0,Permanent,1-1-1,embedded_1.jpeg,"[{""filename"": ""embedded_1.jpeg"", ""photo_no"": ""1-1-1"", ""photo_name"": ""Photos"", ""title"": null, ""date"": ""2025-07-08 17:45:40""}]"
1234,Dauis Evacuation,,"JVF7+5WF, Poblacion, Dauis, Bohol, Philippines",9.6228645,123.8648496,Evacuation Center,Dauis,Dauis,2026-03-05 15:49:02,2026-03-05 15:49:02,Poblacion Gymnasium,500,,0,0,0,0,0,Permanent,,,
1564,EVAC CENTER,,"Q4JW+PXM, Loay Interior Road, Batuan, 6318 Bohol, Philippines",9.78187526783987,124.147409732864,Evacuation Center,Batuan,Batuan,2026-04-28 13:53:22,2026-04-28 13:53:42,BATUAN GYM EVACUATION CENTER,100,9664551108.0,0,0,0,0,0,Permanent,,,
684,Evacuation Center,,"PW7Q+XWX, Canangcaan Barangay Hall Rd, Corella, Bohol, Philippines",9.71444729084179,123.940692206242,Evacuation Center,Corella,Corella,2025-09-22 10:30:49,2026-01-12 09:37:47,Canangcaan Evacuation Center,,,0,0,0,0,0,Temporary,,,
250,Evacuation Center,,"Poblacion, Corella, Bohol",9.68803105106773,123.920007594858,Evacuation Center,Corella,Corella,2025-03-03 10:11:38,2026-01-12 09:38:48,Poblacion Evacuation,30 Families,,0,0,0,0,0,Temporary,,,
